productKey,productname,price,quantity,categoryKey
1,Egg,90,1000,1
2,Indomie,100,1000,1
3,Bread,500,500,1
4,Butter,400,1000,1
5,Milk,1400,1000,1
6,Sugar,200,1000,1
7,Salt,200,1000,1
8,Spagetti,400,1000,1
9,Chin-chin,100,2000,1
10,Biscuit,1000,2000,1
11,Chair,15000,50,2
12,Kettle,3000,50,2
13,Iron,4000,50,2
14,Blender,12000,50,2
15,Rechargeable Fan,23000,25,2
16,Fan,15000,25,2
17,Extension,800,50,2
18,Table,30000,25,2
19,Shirt,2000,100,3
20,Polo shirt,4000,100,3
21,Trousers,5000,100,3
22,Chinos,5000,100,3
23,Skirt,4000,100,3
24,Jeans,7000,100,3
25,Blouse,7000,100,3
